x, y, stamp, 
2.075032234927221e-08, -2.4254857677874497e-08, 1731621710.0125537, 
2.075032234927221e-08, -2.4254857677874497e-08, 1731621710.062618, 
2.075032234927221e-08, -2.4254857677874497e-08, 1731621710.1531324, 
2.075032234927221e-08, -2.4254857677874497e-08, 1731621710.2025084, 
2.075032234927221e-08, -2.4254857677874497e-08, 1731621710.2529936, 
0.0003905535559169948, 0.0004942721570841968, 1731621710.3931587, 
0.002938938792794943, 0.001424311427399516, 1731621710.5030642, 
0.00656057707965374, 0.0023116462398320436, 1731621710.603037, 
0.012068222276866436, 0.004093242343515158, 1731621710.6990077, 
0.017321055755019188, 0.0061403606086969376, 1731621710.7926886, 
0.024211203679442406, 0.009714889340102673, 1731621710.9030626, 
0.030339717864990234, 0.014363070018589497, 1731621711.0030446, 
0.03680387884378433, 0.02063128724694252, 1731621711.099003, 
0.043799228966236115, 0.028914790600538254, 1731621711.1929152, 
0.052758168429136276, 0.04181479290127754, 1731621711.3032784, 
0.05791447311639786, 0.05110520124435425, 1731621711.4030514, 
0.061867982149124146, 0.06101587042212486, 1731621711.5000694, 
0.06559304147958755, 0.07836437970399857, 1731621711.5940776, 
0.06677417457103729, 0.09929835051298141, 1731621711.702584, 
0.066647008061409, 0.11305598169565201, 1731621711.8030815, 
0.06523902714252472, 0.1276421844959259, 1731621711.900063, 
0.0623665414750576, 0.142563596367836, 1731621711.9930813, 
0.05727590247988701, 0.16106578707695007, 1731621712.1030927, 
0.04996158555150032, 0.1772005259990692, 1731621712.2030663, 
0.04131568223237991, 0.19380199909210205, 1731621712.3010817, 
0.02931573987007141, 0.2107546329498291, 1731621712.4104948, 
0.017695864662528038, 0.224752277135849, 1731621712.503096, 
0.0025952537544071674, 0.2407534420490265, 1731621712.6051838, 
-0.01529590506106615, 0.25555065274238586, 1731621712.701226, 
-0.03468228131532669, 0.2687011659145355, 1731621712.793712, 
-0.059755247086286545, 0.2822652757167816, 1731621712.9036038, 
-0.08504702150821686, 0.2928130030632019, 1731621713.005113, 
-0.11207758635282516, 0.30030569434165955, 1731621713.103377, 
-0.13798679411411285, 0.30563995242118835, 1731621713.1929133, 
-0.1714279055595398, 0.3087170124053955, 1731621713.3024626, 
-0.20206458866596222, 0.3085900843143463, 1731621713.4025397, 
-0.23308922350406647, 0.3055049777030945, 1731621713.5024848, 
-0.26143527030944824, 0.300132691860199, 1731621713.5932083, 
-0.29551178216934204, 0.2908468544483185, 1731621713.7026336, 
-0.3258785009384155, 0.27967125177383423, 1731621713.802675, 
-0.3557819426059723, 0.26580530405044556, 1731621713.9031584, 
-0.38170820474624634, 0.2506406009197235, 1731621713.9931607, 
-0.4118502140045166, 0.23005183041095734, 1731621714.1030755, 
-0.437893807888031, 0.2089056670665741, 1731621714.20307, 
-0.4620377719402313, 0.18585467338562012, 1731621714.3030427, 
-0.4826771914958954, 0.1631300002336502, 1731621714.3935905, 
-0.5057235360145569, 0.1330886334180832, 1731621714.5031095, 
-0.5244151949882507, 0.1046556755900383, 1731621714.6030908, 
-0.5413177609443665, 0.07437564432621002, 1731621714.703139, 
-0.5573717951774597, 0.039947472512722015, 1731621714.8129268, 
-0.5686091184616089, 0.010950762778520584, 1731621714.903201, 
-0.5790648460388184, -0.022280927747488022, 1731621715.0031369, 
-0.5872063040733337, -0.05656412988901138, 1731621715.1030383, 
-0.5935167074203491, -0.09456872195005417, 1731621715.2131727, 
-0.5966538190841675, -0.12629806995391846, 1731621715.303138, 
-0.5979127883911133, -0.16147580742835999, 1731621715.4031181, 
-0.5972070097923279, -0.1967136114835739, 1731621715.5030417, 
-0.5945847630500793, -0.2287331372499466, 1731621715.5928237, 
-0.5889572501182556, -0.2677185535430908, 1731621715.704116, 
-0.5816671252250671, -0.3025481104850769, 1731621715.8031068, 
-0.5724910497665405, -0.3369332551956177, 1731621715.9030488, 
-0.5624638795852661, -0.36729541420936584, 1731621715.9925647, 
-0.5476567149162292, -0.4048542380332947, 1731621716.1041286, 
-0.532098114490509, -0.43805834650993347, 1731621716.2031236, 
-0.51517653465271, -0.47007569670677185, 1731621716.3030639, 
-0.4982965886592865, -0.4982836842536926, 1731621716.3926008, 
-0.4758915901184082, -0.5319754481315613, 1731621716.5031168, 
-0.45366597175598145, -0.5612625479698181, 1731621716.6031294, 
-0.43001502752304077, -0.5895313620567322, 1731621716.703055, 
-0.40601256489753723, -0.6155211329460144, 1731621716.7983274, 
-0.37661269307136536, -0.6441737413406372, 1731621716.908129, 
-0.3516344428062439, -0.6666131615638733, 1731621716.9981318, 
-0.32277101278305054, -0.6902685761451721, 1731621717.0991118, 
-0.2928144335746765, -0.7123199701309204, 1731621717.1976988, 
-0.2596309185028076, -0.7341662645339966, 1731621717.3031232, 
-0.2274487167596817, -0.7533711194992065, 1731621717.4031096, 
-0.1938713788986206, -0.7712435126304626, 1731621717.5040638, 
-0.1802852600812912, -0.7780880331993103, 1731621717.5431988, 
-0.12480112910270691, -0.8028438091278076, 1731621717.7031524, 
-0.08967156708240509, -0.816241443157196, 1731621717.8031917, 
-0.054937586188316345, -0.8277642130851746, 1731621717.8991876, 
-0.020698027685284615, -0.8378494381904602, 1731621717.9925246, 
0.016090668737888336, -0.8469061255455017, 1731621718.0931623, 
0.0571754053235054, -0.8551205396652222, 1731621718.2031193, 
0.09345630556344986, -0.8608449101448059, 1731621718.2991278, 
0.1292879581451416, -0.8651026487350464, 1731621718.3931346, 
0.17107917368412018, -0.8684688806533813, 1731621718.5031495, 
0.20909810066223145, -0.8697490692138672, 1731621718.6031501, 
0.24651038646697998, -0.8695883750915527, 1731621718.7001166, 
0.2822944223880768, -0.8679594993591309, 1731621718.7925994, 
0.32464441657066345, -0.8648622632026672, 1731621718.9031258, 
0.36258721351623535, -0.860548734664917, 1731621719.0031235, 
0.39927127957344055, -0.8553324341773987, 1731621719.1003807, 
0.4343482255935669, -0.8493456840515137, 1731621719.1924777, 
0.47543174028396606, -0.8406156301498413, 1731621719.3031676, 
0.5126624703407288, -0.831329345703125, 1731621719.4031303, 
0.5491455793380737, -0.821358323097229, 1731621719.5011275, 
0.5832234621047974, -0.8108527064323425, 1731621719.5928998, 
0.6232962608337402, -0.7969776391983032, 1731621719.7031367, 
0.6597310304641724, -0.7828277349472046, 1731621719.8041353, 
0.6946398615837097, -0.7679253220558167, 1731621719.902381, 
0.7268132567405701, -0.7536150813102722, 1731621719.9937458, 
0.7655945420265198, -0.7343547344207764, 1731621720.1042402, 
0.800067663192749, -0.7159451246261597, 1731621720.2053356, 
0.8329474925994873, -0.6969671249389648, 1731621720.3017275, 
0.8700875639915466, -0.6740272045135498, 1731621720.4118047, 
0.8996182084083557, -0.6545706391334534, 1731621720.5031538, 
0.9314230680465698, -0.6322303414344788, 1731621720.603229, 
0.9624580144882202, -0.6086298823356628, 1731621720.7031856, 
0.990123987197876, -0.5866290330886841, 1731621720.793407, 
1.022575855255127, -0.5589946508407593, 1731621720.90434, 
1.0511491298675537, -0.5328608751296997, 1731621721.0031877, 
1.0789895057678223, -0.5060104131698608, 1731621721.1031184, 
1.1031440496444702, -0.48076876997947693, 1731621721.1936219, 
1.13187837600708, -0.4489028751850128, 1731621721.3031974, 
1.1573851108551025, -0.41908860206604004, 1731621721.4031632, 
1.1819841861724854, -0.388507604598999, 1731621721.504168, 
1.203134536743164, -0.360922634601593, 1731621721.593897, 
1.2278505563735962, -0.326261967420578, 1731621721.7031853, 
1.2497777938842773, -0.2934871017932892, 1731621721.8031833, 
1.270614504814148, -0.2598350942134857, 1731621721.9041107, 
1.288238763809204, -0.22936919331550598, 1731621721.9951663, 
1.308763861656189, -0.19159053266048431, 1731621722.103174, 
1.326033115386963, -0.15705029666423798, 1731621722.2031565, 
1.3421704769134521, -0.12210049480199814, 1731621722.303109, 
1.3558752536773682, -0.09015820175409317, 1731621722.3930945, 
1.371401071548462, -0.05017233267426491, 1731621722.5033348, 
1.3849174976348877, -0.013219859451055527, 1731621722.603307, 
1.3971260786056519, 0.024178840219974518, 1731621722.703114, 
1.4070804119110107, 0.05814303830265999, 1731621722.7929647, 
1.4181588888168335, 0.10020974278450012, 1731621722.9042175, 
1.4268324375152588, 0.13846103847026825, 1731621723.003193, 
1.433721899986267, 0.1763305515050888, 1731621723.1031196, 
1.440780520439148, 0.2188643366098404, 1731621723.2128527, 
1.4452157020568848, 0.2537466585636139, 1731621723.3041997, 
1.4489920139312744, 0.29088035225868225, 1731621723.3991985, 
1.451887607574463, 0.32944756746292114, 1731621723.4991367, 
1.452959418296814, 0.36768171191215515, 1731621723.597051, 
1.4532936811447144, 0.40316709876060486, 1731621723.6874266, 
1.4520875215530396, 0.4459565579891205, 1731621723.7991712, 
1.4503687620162964, 0.48475947976112366, 1731621723.9004776, 
1.447176218032837, 0.5224217176437378, 1731621723.9966965, 
1.4423065185546875, 0.5646363496780396, 1731621724.1072125, 
1.4371676445007324, 0.5994309782981873, 1731621724.199309, 
1.4305853843688965, 0.6370100378990173, 1731621724.298147, 
1.422109842300415, 0.6782576441764832, 1731621724.4074528, 
1.4130364656448364, 0.716045618057251, 1731621724.5083783, 
1.404157042503357, 0.7496799826622009, 1731621724.598175, 
1.3931221961975098, 0.7861015200614929, 1731621724.6991463, 
1.3818185329437256, 0.8207468390464783, 1731621724.7942166, 
1.3671848773956299, 0.8608112931251526, 1731621724.9027603, 
1.3525995016098022, 0.8970215916633606, 1731621725.0034163, 
1.3377429246902466, 0.9315505027770996, 1731621725.099157, 
1.3188130855560303, 0.9715250134468079, 1731621725.212846, 
1.3029580116271973, 1.0019770860671997, 1731621725.303208, 
1.2840033769607544, 1.0356196165084839, 1731621725.4031882, 
1.2646090984344482, 1.068272352218628, 1731621725.4991772, 
1.2451157569885254, 1.098939299583435, 1731621725.594272, 
1.2210568189620972, 1.1343761682510376, 1731621725.703212, 
1.198392629623413, 1.166232943534851, 1731621725.8041933, 
1.1754475831985474, 1.1962884664535522, 1731621725.9001892, 
1.152697205543518, 1.2244548797607422, 1731621725.9930525, 
1.124595284461975, 1.2568082809448242, 1731621726.1025703, 
1.0981833934783936, 1.2848856449127197, 1731621726.2031977, 
1.0712114572525024, 1.312117099761963, 1731621726.301228, 
1.0454128980636597, 1.3366729021072388, 1731621726.3926535, 
1.013547420501709, 1.365660548210144, 1731621726.5036767, 
0.9838952422142029, 1.3908514976501465, 1731621726.6032717, 
0.9540398120880127, 1.4142577648162842, 1731621726.701201, 
0.9254429340362549, 1.4357755184173584, 1731621726.7939599, 
0.8902477025985718, 1.4602246284484863, 1731621726.9035933, 
0.8575774431228638, 1.4816943407058716, 1731621727.0042427, 
0.8248913288116455, 1.5019211769104004, 1731621727.10231, 
0.7934366464614868, 1.5201842784881592, 1731621727.193929, 
0.7563502192497253, 1.5401318073272705, 1731621727.3043492, 
0.7211703658103943, 1.5575374364852905, 1731621727.4047275, 
