path_x, path_y, 
-2.05, -0.5099999999999993, 
-1.3499999999999996, -0.5099999999999993, 
-0.8999999999999995, -0.6099999999999994, 
-0.09999999999999964, -0.8099999999999996, 
0.35000000000000053, -0.9099999999999993, 
0.75, -1.0099999999999993, 
1.200000000000001, -0.9099999999999993, 
1.4000000000000004, -0.4599999999999995, 
0.9500000000000011, -0.20999999999999952, 
1.0999999999999996, 0.39000000000000057, 
0.5, 0.4400000000000004, 
-0.39999999999999947, 0.39000000000000057, 
-0.7999999999999998, 0.9900000000000011, 
-1.0999999999999996, 1.6400000000000006, 
-1.25, 1.990000000000001, 
-1.2999999999999998, 2.490000000000001, 
-1.5499999999999998, 2.990000000000001, 
-1.8499999999999996, 3.290000000000001, 
-2.05, 3.740000000000001, 
