x, y, theta, stamp, 
3.552713678800501e-15, 1.7763568394002505e-15, -6.440880866233605e-11, 1729799847151296424, 
-2.1055548415915837e-08, 2.3942389404396636e-08, -2.3848672670786485e-07, 1729799847196879949, 
-2.1055548415915837e-08, 2.3942389404396636e-08, -2.38491361247385e-07, 1729799847289673757, 
-2.1055548415915837e-08, 2.3942389404396636e-08, -2.3849363499577073e-07, 1729799847339651321, 
-2.1055548415915837e-08, 2.3942389404396636e-08, -2.3849558717991324e-07, 1729799847391649731, 
-2.1055548415915837e-08, 2.3942389404396636e-08, -2.3849792722347876e-07, 1729799847436626750, 
-2.1055548415915837e-08, 2.3942389404396636e-08, -2.3850020097181886e-07, 1729799847481154190, 
-3.7899911831118516e-07, 4.309637517962983e-07, -4.291636035959857e-06, 1729799847529802178, 
0.0008942079148255289, -0.00013322843005880713, -0.005004912184581073, 1729799847598138693, 
0.0031924708746373653, -0.000329855945892632, -0.02211442959640785, 1729799847639661532, 
0.007560917641967535, -0.0008905072463676333, -0.04583693509175637, 1729799847689689117, 
0.018541481345891953, -0.0021351829636842012, -0.12156630989138156, 1729799847787688207, 
0.03418835997581482, -0.004688017535954714, -0.21746496253924055, 1729799847880389598, 
0.06015777960419655, -0.012473643757402897, -0.3833207051336312, 1729799847997677859, 
0.08228210359811783, -0.022925162687897682, -0.5327137769773129, 1729799848089645652, 
0.1041097417473793, -0.037850722670555115, -0.6957171397825092, 1729799848188749951, 
0.12165836989879608, -0.05436231195926666, -0.8492257752850495, 1729799848280450156, 
0.14060789346694946, -0.07972363382577896, -1.0439276339040553, 1729799848398755846, 
0.14597280323505402, -0.08912566304206848, -1.1121099842492799, 1729799848439654300, 
0.15967300534248352, -0.12535585463047028, -1.3632401508846985, 1729799848588739512, 
0.16322775185108185, -0.1490984857082367, -1.5151723339269423, 1729799848679915269, 
0.16286700963974, -0.180256187915802, -1.7086524150253233, 1729799848798691317, 
0.15806227922439575, -0.20505017042160034, -1.8545886456574527, 1729799848891669485, 
0.14859186112880707, -0.2317746877670288, -1.9998540983089599, 1729799848989763244, 
0.1360921412706375, -0.2559666931629181, -2.1267424116999254, 1729799849081225783, 
0.11548563838005066, -0.2851714491844177, -2.2806387268645314, 1729799849199867266, 
0.09674990922212601, -0.30533313751220703, -2.379667762412826, 1729799849290679774, 
0.07363317161798477, -0.32564660906791687, -2.4737777465491155, 1729799849389784017, 
0.047026123851537704, -0.3454027771949768, -2.557950732003652, 1729799849499957858, 
0.02194894477725029, -0.36123716831207275, -2.6161567894212787, 1729799849599669177, 
-0.002414620015770197, -0.3749154210090637, -2.6617397983993247, 1729799849690679568, 
-0.01596662402153015, -0.3819630444049835, -2.6817509897013707, 1729799849739695216, 
-0.060037761926651, -0.40265560150146484, -2.7199568760507975, 1729799849900370057, 
-0.08795059472322464, -0.4146139919757843, -2.7342186089142015, 1729799850000718339, 
-0.11308193951845169, -0.4252724051475525, -2.7392904716451105, 1729799850090710598, 
-0.14115369319915771, -0.43716955184936523, -2.7370402883054865, 1729799850189803512, 
-0.1723092496395111, -0.4506535828113556, -2.7293712848181535, 1729799850300351020, 
-0.18615767359733582, -0.45649439096450806, -2.724326384873501, 1729799850349551063, 
-0.22525502741336823, -0.47433343529701233, -2.707805403252874, 1729799850490690643, 
-0.23907648026943207, -0.48083552718162537, -2.6999954797568284, 1729799850539730201, 
-0.27798348665237427, -0.49986061453819275, -2.672782437230039, 1729799850681373767, 
-0.31041085720062256, -0.5167151093482971, -2.653557095078104, 1729799850800714401, 
-0.3346201777458191, -0.5298641920089722, -2.6378061680582747, 1729799850891697892, 
-0.36163392663002014, -0.545056164264679, -2.619368103742354, 1729799850989849711, 
-0.38536638021469116, -0.5589567422866821, -2.603914250337089, 1729799851081239088, 
-0.41682538390159607, -0.5782902240753174, -2.585538402715258, 1729799851200726857, 
-0.440456748008728, -0.5934284329414368, -2.5706625341117646, 1729799851289695575, 
-0.46613654494285583, -0.6099887490272522, -2.556923605463914, 1729799851389956195, 
-0.49416583776474, -0.6289884448051453, -2.5456777261553936, 1729799851500107202, 
-0.5193887948989868, -0.6462470889091492, -2.5368709417197133, 1729799851601005736, 
-0.5419834852218628, -0.6621921062469482, -2.530731686672055, 1729799851690892186, 
-0.5672256350517273, -0.679846465587616, -2.5217986041701854, 1729799851790120030, 
-0.5895517468452454, -0.6957426071166992, -2.5153703874908575, 1729799851881176387, 
-0.619612455368042, -0.7175708413124084, -2.5100886569041716, 1729799852000712039, 
-0.6416855454444885, -0.7339130640029907, -2.507181631339282, 1729799852089804849, 
-0.6661911606788635, -0.752011239528656, -2.5033891312096683, 1729799852189866545, 
-0.6884042620658875, -0.7684441208839417, -2.5015602074541903, 1729799852281404567, 
-0.7178037762641907, -0.7902946472167969, -2.5007793543459127, 1729799852400899023, 
-0.7399973273277283, -0.8066558837890625, -2.5007793543459127, 1729799852490257838, 
-0.7646092176437378, -0.8247151374816895, -2.4999661259803534, 1729799852589737514, 
-0.7865161895751953, -0.8411937952041626, -2.498909194723819, 1729799852681299064, 
-0.8154388666152954, -0.8625543117523193, -2.5003495391148864, 1729799852800843825, 
-0.8355147838592529, -0.8772212862968445, -2.4999931012689443, 1729799852890732291, 
-0.8458583950996399, -0.8848223090171814, -2.4999931012689443, 1729799852940748510, 
-0.8727031350135803, -0.9047576785087585, -2.5019967526843327, 1729799853080848968, 
-0.8929840326309204, -0.9197772145271301, -2.502980251632797, 1729799853196846715, 
-0.9003023505210876, -0.9252590537071228, -2.5024769036365924, 1729799853243732188, 
-0.9203230142593384, -0.9402006268501282, -2.503757475713127, 1729799853385860670, 
