x, y, theta, stamp, 
-1.7763568394002505e-15, -5.329070518200751e-15, 3.2066627637466393e-11, 1729799440439153406, 
-1.7763568394002505e-15, -5.329070518200751e-15, 3.179311068864635e-11, 1729799440536153234, 
-1.7763568394002505e-15, -5.329070518200751e-15, 3.155687893529008e-11, 1729799440679388273, 
-1.7763568394002505e-15, -5.329070518200751e-15, 2.838418596532189e-11, 1729799440739188580, 
-1.7763568394002505e-15, -5.329070518200751e-15, 2.946963967352523e-11, 1729799440789234259, 
-1.7763568394002505e-15, -5.329070518200751e-15, 2.886077968973395e-11, 1729799440839211277, 
-2.1055359411548125e-07, 2.3942436655488564e-07, -2.3841960967019152e-06, 1729799440886326348, 
0.0006449479842558503, -8.086373418336734e-05, -0.003989770975754492, 1729799440936162742, 
0.0028811574447900057, -0.0003402616421226412, -0.019076278446144835, 1729799440979271368, 
0.006838028784841299, -0.0007782329339534044, -0.043134115552142686, 1729799441029191670, 
0.01944979839026928, -0.002405774313956499, -0.1257829861497777, 1729799441139155559, 
0.03562338277697563, -0.0055725909769535065, -0.23720735789669173, 1729799441239210027, 
0.05763847380876541, -0.01203826256096363, -0.37380630089912736, 1729799441337301869, 
0.07979558408260345, -0.022434476763010025, -0.5267287751486839, 1729799441428882142, 
0.10394993424415588, -0.03898123651742935, -0.7100668398146174, 1729799441538586564, 
0.12277701497077942, -0.056752581149339676, -0.8779615621703298, 1729799441640159402, 
0.13788555562496185, -0.07744832336902618, -1.0403504773810366, 1729799441737176719, 
0.1487923562526703, -0.09952971339225769, -1.1924671852902478, 1729799441828545559, 
0.15755295753479004, -0.12671761214733124, -1.3750999302939884, 1729799441939152374, 
0.16134871542453766, -0.15289708971977234, -1.5401719727265992, 1729799442041466521, 
0.16057315468788147, -0.1804439127445221, -1.6873694105417107, 1729799442138295338, 
0.15663911402225494, -0.2069973200559616, -1.8176255159652839, 1729799442230602397, 
0.14652003347873688, -0.23923936486244202, -1.9605406295460448, 1729799442339546276, 
0.13399696350097656, -0.2667917311191559, -2.0787402372553956, 1729799442440548750, 
