e, e_dot, e_int, stamp, 
-2.3561944902239036, 1.4898751444142116e-12, -0.5660400699851321, 1729799440679388273, 
-2.356194490220731, 1.823407271589499e-11, -0.47839076356570515, 1729799440739188580, 
-2.3561944902218164, 1.0455175195371647e-11, -0.2588185069862195, 1729799440789234259, 
-2.3561944902212075, -3.1682472711335627e-12, -0.23567292756846972, 1729799440839211277, 
-2.3561918810072715, 1.8459871789240418e-05, -0.22876776070120952, 1729799440886326348, 
-2.352567522734012, 0.024260170141143938, -0.2283192100590394, 1729799440936162742, 
-2.3387268761759086, 0.1312631878937227, -0.218342917745543, 1729799440979271368, 
-2.316856983864065, 0.2530535289477989, -0.2173202701337272, 1729799441029191670, 
-2.241246526566574, 0.3752298906821024, -0.36756471560893506, 1729799441139155559, 
-2.139277422745934, 0.5689098177696744, -0.4688576465962902, 1729799441239210027, 
-2.0164367821399574, 0.7571460826904454, -0.42251138805073557, 1729799441337301869, 
-1.8791147759910176, 0.9172579260458908, -0.3815462588220726, 1729799441428882142, 
-1.7152345396736517, 0.9977686123562705, -0.3764551228022815, 1729799441538586564, 
-1.5649113606958514, 0.9912629582432747, -0.3633448197757325, 1729799441640159402, 
-1.419974829186966, 0.9912929484858518, -0.31113256806711076, 1729799441737176719, 
-1.284315673132018, 0.9928887874522889, -0.2680861774768684, 1729799441828545559, 
-1.1201681030765893, 0.9896019395975463, -0.2574825106150525, 1729799441939152374, 
-0.9712259314503586, 0.9799325643155048, -0.2395864527958286, 1729799442041466521, 
-0.8393716986336854, 0.9391530059417047, -0.19454712496374715, 1729799442138295338, 
-0.7229647093286498, 0.8742698311200953, -0.15972917748847637, 1729799442230602397, 
-0.5952179285043646, 0.81122563967245, -0.144736611333297, 1729799442339546276, 
-0.48889231587685744, 0.7417652004463973, -0.12646293204301046, 1729799442440548750, 
-0.4016583193368093, 0.6455571064305924, -0.09889622635643701, 1729799442539233284, 
-0.32938832406990315, 0.5608809560932726, -0.0769260744230236, 1729799442629720693, 
-0.2604121424443724, 0.4761055811567303, -0.06610903025947572, 1729799442739268922, 
-0.2092182198136734, 0.3812221953884638, -0.055702938914179656, 1729799442838863257, 
-0.16664274732442008, 0.3132181047307551, -0.0423383908736303, 1729799442938892591, 
-0.13462360988454236, 0.2597005079084509, -0.03243518147665561, 1729799443029477330, 
-0.10364019893770138, 0.2118353096201039, -0.027053377783658752, 1729799443139334229, 
-0.0828777660029858, 0.1633472773299224, -0.022444869624159352, 1729799443239149992, 
-0.06798887281980859, 0.11927224127676916, -0.016899380517195285, 1729799443338535720, 
-0.059074076203830206, 0.08252477958970883, -0.013336241860421903, 1729799443429721533, 
-0.0519647334291955, 0.05423622681147533, -0.011974293753065555, 1729799443539191176, 
-0.04387923175756692, 0.04860104957631876, -0.010816580385968012, 1729799443639185459, 
-0.038340504147277965, 0.04541596771250156, -0.008945295827762692, 1729799443739183676, 
-0.034713818457343226, 0.031823872620720554, -0.007424377000512983, 1729799443829662274, 
-0.031068388462902607, 0.02435291802025388, -0.006977213722715146, 1729799443940212260, 
-0.02633515196630798, 0.026934985153996543, -0.0064331840562571714, 1729799444039172755, 
-0.022960969516532703, 0.027191742026525845, -0.005329482254972553, 1729799444139161358, 
-0.021994561017931957, 0.014741123829057514, -0.004567912174376943, 1729799444231396143, 
-0.01741313719684401, 0.01765387809859835, -0.004159444619731198, 1729799444339235118, 
-0.014618017626150337, 0.023482153793711064, -0.0037421533012778336, 1729799444439194591, 
-0.010932659480058948, 0.021607212065425572, -0.002863459155558913, 1729799444539179597, 
-0.009768416873141117, 0.01662079184411433, -0.002231220493875113, 1729799444628714217, 
-0.005414585971079244, 0.017357838928307792, -0.0017494933029524034, 1729799444740150181, 
-0.00480302937800392, 0.015082066263873796, -0.00140207508200558, 1729799444839172461, 
-0.004274310623718858, 0.003803414770591509, -0.0009662867562925483, 1729799444940182963, 
-0.004024160638361085, 0.002686107033047142, -0.0008279698717359364, 1729799445028762164, 
-0.003733094832757189, 0.0018120211340912108, -0.0008021512893250251, 1729799445140194653, 
-0.0037575999179515485, 0.000788184478531976, -0.0008077649292355794, 1729799445239211597, 
