imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, odom_x, odom_y, stamp, 
-0.062263066256730955, -0.010656318028530983, -0.0622318687705759, -1.7604211518891793e-14, 2.2821015815944696e-07, -7.714035019682164e-08, -1.999763679414049, -0.5000010188423607, -1.9999267829536012, -0.5000010200239146, 262640000000, 
-0.06097325671087243, 0.03273454139442172, -0.06097451219730325, 1.4475575560421721e-13, -2.4402158326402093e-06, -5.9320882058042246e-08, -1.9997627304558048, -0.5000010188354888, -1.9999267745383094, -0.500001020066318, 262740000000, 
-0.08092466242282906, -0.0006948257291287633, -0.08090474658853788, 8.225024147536181e-13, -1.4466474203455454e-05, -5.685576203199226e-08, -1.9997579653106714, -0.5000010188010245, -1.9999267981608857, -0.5000010201015433, 262835000000, 
-0.042218501137695603, -0.005878378652241461, -0.04225710941953435, -5.714793393868556e-14, -5.5794535231915715e-06, 1.0242568327013443e-08, -1.999758603831091, -0.5000010188056313, -1.99992680041176, -0.5000010199886573, 262935000000, 
-0.07682123491481195, -0.006242100212421181, -0.07678673932123885, 1.175000901031304e-13, -2.5436381357697366e-06, -4.6193713032838066e-08, -1.9997587381482174, -0.5000010188065995, -1.9999267474757645, -0.5000010200006381, 263040000000, 
-0.09958695538855605, 0.01247835168931548, -0.09956419989692111, 5.897613976966822e-13, -5.325152463176233e-06, -1.1075014316959366e-07, -1.9997582275007406, -0.5000010188029177, -1.9999267747993854, -0.5000010201071013, 263135000000, 
-0.054584058705196066, -0.01909518279108464, -0.05462894806275597, -2.364572828578738e-13, -5.841503006210821e-06, 4.047884296326937e-08, -1.9997577242376452, -0.5000010187992915, -1.9999267968490393, -0.5000010201303374, 263230000000, 
-0.05515711124203011, -0.015465820134962591, -0.05515658361945464, -5.045405159287716e-14, -2.9069246070996535e-06, 1.7356505039605082e-08, -1.999757776675372, -0.5000010187996686, -1.9999267464358255, -0.5000010200514405, 263330000000, 
-0.061419928760143225, 0.012193087821647578, -0.061413677359150286, 4.599021555477558e-13, -3.83514878907025e-06, -1.199176826876772e-07, -1.9997575149419218, -0.5000010187977847, -1.9999267326362047, -0.5000010200821037, 263435000000, 
-0.061199099956970815, -0.002276513504082159, -0.061199313487769254, 3.941629952590339e-13, -5.117688118623509e-06, -7.70197374522797e-08, -1.9997572802631052, -0.500001018796095, -1.9999267677376447, -0.5000010201239953, 263530000000, 
-0.05528018296664563, -0.007981852822452831, -0.055286089652322436, 3.7191164113745313e-14, -1.8293085223917288e-06, -2.0330722597366865e-08, -1.9997571649514763, -0.5000010187952662, -1.9999267443495974, -0.5000010201533688, 263630000000, 
-0.07420980644244336, -0.00020765614779148236, -0.07419091832819694, 8.403900260478709e-13, -1.047097643515349e-05, -8.025899315621485e-08, -1.9997553706037732, -0.5000010187823829, -1.999926719232863, -0.5000010201987759, 263730000000, 
-0.06236332354039621, -0.014848845912343882, -0.06237512680566241, -4.345334069674116e-13, -5.745689400452232e-06, 7.562772309502325e-08, -1.9997556772211773, -0.5000010187845831, -1.9999267525269113, -0.5000010201263783, 263830000000, 
-0.05692031957149718, 0.0036129124849984848, -0.05692576286621918, 8.994081006397441e-14, -1.1914929116795675e-06, -7.548581211212654e-08, -1.9997556236981995, -0.5000010187841996, -1.9999267019935754, -0.5000010201943297, 263920000000, 
-0.03567914019237012, 6.340137813123383e-05, -0.035700343869296484, 8.887115335874407e-14, -1.3459435769906658e-06, -6.602888477498221e-08, -1.9997551818484918, -0.5000010187810291, -1.9999266998381406, -0.5000010202320493, 264020000000, 
-0.06943021430346624, -0.033503555322508864, -0.06939655136477182, -1.7309231394766606e-15, 7.306063326550927e-08, -2.3691597815561245e-08, -1.9997549562563606, -0.500001018779412, -1.999926746063653, -0.5000010202257681, 264107000000, 
-0.06404573564549453, 0.008035680848060875, -0.06405107508459663, 4.0475100708298834e-13, -5.218569002003043e-06, -7.755976914890515e-08, -1.9997542451245527, -0.5000010187743194, -1.999926721657684, -0.5000010202021021, 264207000000, 
-0.07615018847642274, 0.017401819678857407, -0.07613811284984887, 3.1205087709949225e-13, -2.075116392267172e-06, -1.5037752979174365e-07, -1.9997541191133887, -0.5000010187734173, -1.9999266741918056, -0.500001020248221, 264307000000, 
-0.06348280672725168, 0.010663687773754827, -0.06349543606560482, 3.4811372893471526e-13, -3.779831740817474e-06, -9.20976786282629e-08, -1.9997535989443285, -0.5000010187696975, -1.9999266677675072, -0.5000010202559135, 264398000000, 
-0.05902349809803937, 0.026178525736798228, -0.05902796047606492, 3.2790808143033695e-13, -2.0471391070919776e-06, -1.601787002624068e-07, -1.9997533384030481, -0.5000010187678381, -1.9999266977229837, -0.5000010202642777, 264501000000, 
-0.023908980438079788, -0.030474510747983168, -0.023944028761437003, 9.61524084193953e-14, -4.881954387624468e-06, -1.969547455484985e-08, -1.999752948646827, -0.5000010187650602, -1.9999266536913438, -0.5000010202370828, 264601000000, 
-0.07098334538061467, -0.015259385346506404, -0.07093639966594087, 3.8957353113851885e-14, -2.1358912389063574e-06, -1.823938991097658e-08, -1.999753196944076, -0.5000010187668259, -1.9999266632075183, -0.5000010202546478, 264696000000, 
-0.07892716920328018, -0.013483691121639626, -0.07891919368899336, 1.238621145532911e-13, -3.293718207319704e-06, -3.7605559054210996e-08, -1.9997527189620503, -0.5000010187634278, -1.9999266731527876, -0.5000010202721211, 264796000000, 
-0.05844471080761985, -0.0019055651914665064, -0.058465143654942896, 4.8708641855135e-13, -6.282961195204842e-06, -7.752497642721309e-08, -1.999752257959981, -0.5000010187601514, -1.99992664260154, -0.5000010202043947, 264891000000, 
-0.04467807128571774, -0.01812927875840508, -0.04469183025616811, -1.2713264060226924e-13, -5.6417500080710795e-06, 2.2534256289341688e-08, -1.9997522956116727, -0.5000010187604188, -1.999926662907619, -0.5000010202890052, 264982000000, 
-0.07997535739320259, 0.004590581110746706, -0.07994014381714046, 7.011917588415357e-14, -7.611004524624848e-07, -9.212867454918482e-08, -1.999752414648312, -0.5000010187612635, -1.9999266736688837, -0.5000010203052793, 265084000000, 
-0.049869838846156624, -0.007956679459406575, -0.049899848361274486, 2.0379088506836732e-13, -3.6557904962413595e-06, -5.574468374976399e-08, -1.999751689363497, -0.5000010187561155, -1.9999266185229714, -0.5000010203366806, 265184000000, 
-0.03027261934051534, 0.016455786432401375, -0.03029220692670622, 2.0669361341320426e-13, -1.6831046631806193e-06, -1.2280496747160595e-07, -1.9997515632593903, -0.5000010187552216, -1.9999266333990169, -0.5000010203474948, 265279000000, 
-0.06999558766744834, -0.042869124847303104, -0.06995596318807204, -3.9084307625813676e-15, -4.685697893142514e-07, 8.341192393776237e-09, -1.9997514246635297, -0.5000010187542399, -1.999926668932885, -0.500001020373547, 265374000000, 
-0.05150786630488564, -0.025890198635249356, -0.05152627690636841, 1.292112264226676e-13, -2.6069659416821586e-06, -4.95638337105752e-08, -1.9997507780749304, -0.500001018749668, -1.9999266526230808, -0.5000010203560593, 265469000000, 
-0.05998633129974676, 0.013092756191827561, -0.059977887610191585, 1.5191556088605282e-13, -1.4835970399930051e-06, -1.023967807908063e-07, -1.9997505240669389, -0.5000010187478716, -1.9999265895637557, -0.5000010203672369, 265566000000, 
-0.05755151176146968, 0.044380146258729145, -0.05755393270462238, 4.3370289072497265e-13, -3.0621785487329467e-06, -1.4163213667094237e-07, -1.9997500779642439, -0.5000010187447191, -1.99992661171823, -0.5000010203842418, 265666000000, 
-0.05453681953799478, 0.013677663426337637, -0.0545398300380872, 4.3969922635406083e-13, -3.998083311766189e-06, -1.0997750473584298e-07, -1.9997497940228195, -0.5000010187427155, -1.999926616070768, -0.5000010204072232, 265761000000, 
-0.07299057441408952, 0.006076849463108754, -0.07297215994403469, 4.221486787179957e-13, -4.295921542889387e-06, -9.826731575597244e-08, -1.9997496540122592, -0.5000010187417296, -1.9999265693807773, -0.500001020418307, 265861000000, 
-0.013846786555225928, 0.001853728418502361, -0.013905793261029732, 4.3059735321393796e-13, -4.928192394668303e-06, -8.737429847093455e-08, -1.9997493655131164, -0.5000010187397012, -1.9999266030884733, -0.5000010203438453, 265956000000, 
-0.08052607347148776, 0.006647758825665212, -0.08045958595947286, -2.247330388001193e-13, 2.5758269995897892e-06, -8.724694586861188e-08, -1.9997497182178428, -0.5000010187421776, -1.9999265816071847, -0.5000010204267139, 266057000000, 
-0.06745770373488617, -0.013756561429036796, -0.0674706788793071, 9.026841116266288e-13, -7.17908769638613e-06, -1.2573799761229127e-07, -1.9997486595981797, -0.5000010187347538, -1.9999265747685535, -0.5000010203681915, 266152000000, 
-0.05721350828410631, 0.006117062882797748, -0.05722374431102316, 5.546567346263796e-13, -4.511596673536546e-06, -1.2294023042436457e-07, -1.9997486994132658, -0.5000010187350327, -1.9999266028981844, -0.5000010203776836, 266247000000, 
-0.08031096457614499, 0.016917165719328275, -0.08028792284504006, 2.279954295036336e-13, -1.7487795774522724e-06, -1.3037402337222572e-07, -1.9997485785784064, -0.5000010187341878, -1.999926582218293, -0.5000010204596538, 266347000000, 
-0.030393327235130434, 0.01110869885782597, -0.030443121503652963, 3.898968474790447e-13, -4.338213702293273e-06, -8.987497487109427e-08, -1.9997479630733186, -0.5000010187298922, -1.9999265418424, -0.5000010204579071, 266442000000, 
-0.05678415933414936, 0.02811752051682289, -0.056757870537004956, -1.1269853060066798e-13, 6.184438390275694e-07, -1.82229207389103e-07, -1.9997480902401807, -0.5000010187307781, -1.9999265793365757, -0.5000010204982146, 266537000000, 
-0.0828305151513343, 0.0012084332460299619, -0.08280449395622982, 2.563321685688724e-13, -3.4088926334722297e-06, -7.519514286015445e-08, -1.9997474608802155, -0.5000010187263997, -1.9999265952697134, -0.5000010203890133, 266638000000, 
-0.07199511766846549, 0.005253342834499436, -0.07200590466640437, 1.8657004269697203e-13, -2.9993456788605932e-06, -6.220358127171497e-08, -1.9997469835132229, -0.5000010187230872, -1.9999265264137884, -0.5000010204866279, 266738000000, 
-0.040122796385106047, -0.005030542603133171, -0.0401546151737581, 1.1190557337689753e-13, -2.7603290509610467e-06, -4.05406642870842e-08, -1.999746567986548, -0.5000010187202071, -1.999926510620539, -0.500001020514195, 266843000000, 
-0.054097528843326984, -0.014116605137018342, -0.05408361334499975, -5.337933804435704e-15, 2.2536708543362954e-07, -2.3685507553886887e-08, -1.9997464420558926, -0.5000010187193349, -1.9999265491265774, -0.5000010205173715, 266938000000, 
-0.056313480830246794, -0.006164642450059841, -0.05631125485543023, 2.456386336347006e-13, -3.2260588163782536e-06, -7.614201960225501e-08, -1.999745861547098, -0.5000010187153171, -1.9999265127347932, -0.5000010204441744, 267039000000, 
-0.03634756879406824, 0.027608033189085078, -0.03636749210581601, 7.006048005320615e-13, -4.002261090916594e-06, -1.7505224787111771e-07, -1.999745631932368, -0.5000010187137285, -1.9999265127534505, -0.5000010204794721, 267134000000, 
-0.04344655081127578, 0.009232929687294455, -0.043439485512604126, 3.550902530551781e-15, -3.4201592601437736e-08, -1.038227246295692e-07, -1.9997456683429489, -0.5000010187139802, -1.999926527157074, -0.5000010205261806, 267234000000, 
-0.05936053929065199, -0.018325974355259126, -0.05934464955305179, 1.0926347359968415e-13, -1.4892155577638302e-06, -7.336981743848521e-08, -1.9997452239385745, -0.5000010187109166, -1.9999264947367583, -0.5000010205476685, 267334000000, 
-0.04973364139936827, -0.008228563460087688, -0.04974323265500742, 3.14152057570807e-13, -4.319109500459939e-06, -7.273537694225006e-08, -1.999744791135305, -0.5000010187079376, -1.9999265121174903, -0.5000010205114231, 267434000000, 
-0.04313485935003061, 0.029976286063480944, -0.04314145405256897, 2.619493874407527e-13, -1.3331669637206903e-06, -1.9648655762492575e-07, -1.9997447308054426, -0.5000010187075228, -1.9999265273375055, -0.5000010205594391, 267534000000, 
-0.07976057912708386, -0.01354236109953683, -0.07972403262481728, -2.275028539686316e-14, 8.102100930293052e-07, -2.8079489002416423e-08, -1.9997444303720695, -0.5000010187054592, -1.9999264693651195, -0.5000010205980968, 267634000000, 
-0.06390165565071564, 0.007888013345112896, -0.06391744566504037, 2.771877700276834e-13, -4.826812013743881e-06, -5.742667608318244e-08, -1.9997435499984926, -0.5000010186994296, -1.9999264807061314, -0.5000010206117947, 267729000000, 
-0.06860198890070104, 0.010513513546060536, -0.06859731307172244, 4.471568803143828e-13, -3.8654446001930645e-06, -1.156805818125162e-07, -1.999743397300038, -0.5000010186983842, -1.999926519214205, -0.5000010206267514, 267829000000, 
-0.06960760887650175, 0.022933141741754804, -0.06960659991591536, 4.962887787923349e-13, -3.2046228929261816e-06, -1.5486651483637358e-07, -1.9997431006278985, -0.5000010186963548, -1.9999264901863172, -0.5000010205745745, 267925000000, 
-0.08101322414881836, 0.027239222690051655, -0.08100183958872866, 9.755562309324925e-13, -5.918059940900923e-06, -1.648439253192121e-07, -1.999742726576528, -0.5000010186938004, -1.9999264288813159, -0.5000010206388695, 268025000000, 
-0.05307967269589078, 0.0058677017264804196, -0.05310753834392531, 6.857097739979274e-13, -5.9196753896505194e-06, -1.15835705315323e-07, -1.9997425048512965, -0.5000010186922896, -1.9999264705951174, -0.5000010205678013, 268125000000, 
-0.05431613292552227, 0.014924881622244519, -0.05431492620253794, 2.0924164950161098e-13, -1.4585852580401362e-06, -1.434552065765176e-07, -1.9997425612909352, -0.5000010186926732, -1.9999264570191684, -0.5000010206532112, 268220000000, 
-0.09035620466090545, -0.0020474687694813235, -0.0903202347577565, 2.486047465463034e-13, -3.158720638937046e-06, -7.870425243745594e-08, -1.9997421761638716, -0.5000010186900601, -1.9999264428960972, -0.5000010206307512, 268325000000, 
-0.04157770991117533, -0.011455023652966521, -0.04162635429058763, 3.5147695608947465e-13, -7.558709762345642e-06, -4.649959677515164e-08, -1.9997415867561126, -0.5000010186860692, -1.9999264720669885, -0.5000010206032993, 268420000000, 
-0.057385167067990496, 0.014194138214116445, -0.057369439279172194, 4.373392250557718e-14, -2.702885329303184e-07, -1.6180457983710312e-07, -1.9997419259328502, -0.500001018688363, -1.9999264546854822, -0.5000010206853438, 268520000000, 
-0.027495179900531058, 0.028045066580561193, -0.027524994444423457, -2.6673854145944558e-14, 3.4063674826624243e-07, -7.830586183583521e-08, -1.9997418216981129, -0.5000010186876586, -1.9999264201390703, -0.500001020649939, 268620000000, 
-0.05695211460770694, -0.00791654695086665, -0.056896288112789795, 1.1430142854964237e-11, -0.00016423860469227947, -6.959473916854059e-08, -1.9731769517794344, -0.5000008393449552, -1.9999170585242478, -0.5000010367500186, 424027000000, 
-0.08409412748915267, -0.0206580493778371, -0.08406698332811657, -1.3741265197546603e-11, -4.138508078392611e-06, 3.3203427267160694e-06, -1.9731927134683878, -0.5000008392560569, -1.999917082980689, -0.5000010367602601, 424084000000, 
-0.12041109942377744, -0.00770387671127123, -0.12037481733084007, -0.007385166370201689, 0.0964210245901023, -0.07659290493538048, -1.9731826129631933, -0.5000008393123956, -1.993162516234221, -0.5000022869162594, 424189000000, 
-0.03226577604678961, -0.025579437621915634, -0.03235370766891288, -0.012101831065168173, 0.10090220689996166, -0.119936237640138, -1.963552437631395, -0.500000964143951, -1.986349632173043, -0.5000378856860814, 424279000000, 
-0.05443673341419201, -0.03259395239249514, -0.05441469401359435, -0.015431495093027875, 0.10200731460493236, -0.15127831913616238, -1.9534856672279395, -0.500078135443978, -1.9761318012218743, -0.5001922952544253, 424379000000, 
-0.05147409604775935, 0.027863762209421564, -0.051477031043142746, -0.012071035146084753, 0.09392112009645724, -0.12852311741691078, -1.9433046289037765, -0.5002780607242917, -1.9659087480722763, -0.5004822747789955, 424474000000, 
-0.059336541966371406, -0.012530520827764177, -0.059328697007169945, -0.011234008333571067, 0.1000357839306152, -0.11229989801812293, -1.9338809410735576, -0.5006055161043361, -1.9556879232183293, -0.5009115121622368, 424574000000, 
0.05119393973002985, -0.019076843661524782, 0.051083638245654206, -0.010380493365139052, 0.10071434661347345, -0.10306866612537167, -1.9238820085014408, -0.5010821685172696, -1.945475448757048, -0.5014649520457691, 424669000000, 
-0.033301836361460176, -0.012825444773350915, -0.03321761980661965, -0.0069628972956063484, 0.10002954956218371, -0.06960840397744508, -1.9138903056492138, -0.5016710617829275, -1.9352767557010555, -0.5021241013327179, 424769000000, 
