imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, odom_x, odom_y, odom_th, stamp, 
-0.002407371997833252, -0.015700697898864746, -0.0022607331730053297, -4.445178372496864e-11, -5.041892139439072e-05, 8.816488432438789e-07, 0.0006619404026561127, 1.0163087477401117e-05, -1.0102920896315482e-05, 1.0164048944716342e-05, -1.430662699156639e-06, 1732835678.836006, 
0.024301469326019287, 0.00818091630935669, 0.022076668505207394, 3.6452563958099944e-13, -1.2918120369160332e-06, -2.821816403346405e-07, 4.123484128247469e-05, 1.0163975627146148e-05, -1.0102920896315482e-05, 1.0164048944716342e-05, -1.4306625958412363e-06, 1732835678.897873, 
0.005959033966064453, 0.022480487823486328, 0.007310276623627248, -4.8400000907268746e-11, 0.00017351017542409104, -2.789461816228943e-07, 5.0365319892660575e-05, 1.01639527502499e-05, -1.0102920896315482e-05, 1.0164048944716342e-05, -1.4306625063966103e-06, 1732835678.9478805, 
0.009259819984436035, 0.007975220680236816, 0.009095616113715704, -2.5019965117830205e-11, 7.715618997849289e-05, -3.242768354010801e-07, 5.950263217279896e-05, 1.0163944931240853e-05, -1.0102920896315482e-05, 1.0164048944716342e-05, -1.4306638303324177e-06, 1732835678.9959555, 
-0.021488964557647705, -0.002988159656524658, -0.018922785613150965, -8.342712208258268e-11, 6.28826285588958e-05, -1.3267117484512426e-06, 6.135111593845886e-05, 1.016394300508205e-05, -1.0102920896315482e-05, 1.0164048944716342e-05, -1.4306642538127348e-06, 1732835679.0459538, 
-0.014306724071502686, -0.022880256175994873, -0.014692933312459005, 3.4646461756980645e-10, -0.00015086389266304808, -2.2965377033166527e-06, 8.278699003121086e-05, 1.0163922581547615e-05, -1.0102920896315482e-05, 1.0164048944716342e-05, -1.4306657989538882e-06, 1732835679.0880604, 
-0.017739474773406982, 0.004421710968017578, -0.01748274579942053, -3.4535342474259893e-10, -0.00013716296962286954, 2.5178328064210796e-06, 8.146710403431823e-05, 1.0163924146744111e-05, -1.0082331755256746e-05, 1.0139915502804797e-05, -1.1922590680584097e-06, 1732835679.1379597, 
-0.0010796785354614258, 0.0008498430252075195, -0.002455088292946772, 4.987137481846232e-11, -0.00014734343732381158, -3.3847028224855187e-07, 8.248295765109848e-05, 1.0163923101390729e-05, -1.0082331755256746e-05, 1.0139915502804797e-05, -1.1922648511962409e-06, 1732835679.1879575, 
0.018812716007232666, -0.018722176551818848, 0.017028318340457246, -6.749455436152763e-11, -2.5981123421913756e-05, 2.597830481210039e-06, 5.805735277737717e-05, 1.0163948821116552e-05, -1.0082331755256746e-05, 1.0139915502804797e-05, -1.1922754325375818e-06, 1732835679.347961, 
-0.005056023597717285, 0.0069432854652404785, -0.0032036843119572778, -2.7050356789613583e-11, 0.00012638344302725972, -2.1403402329986433e-07, 4.2040393903692484e-05, 1.0163966010041304e-05, -1.0082331755256746e-05, 1.0139915502804797e-05, -1.19227680945024e-06, 1732835679.4450014, 
-0.02291792631149292, 0.01973956823348999, -0.02126327870180748, -5.152957294159218e-11, -2.894875302499015e-05, 1.780027377936073e-06, 5.756914473627254e-05, 1.0163952885500056e-05, -1.0082331755256746e-05, 1.0139915502804797e-05, -1.192277534767823e-06, 1732835679.5381432, 
-0.017533540725708008, -0.00911402702331543, -0.01784516999490848, -6.950696753114527e-11, -0.0001777371122862973, 3.910661461585135e-07, 7.240584593414413e-05, 1.0163940345547411e-05, -1.0082331755256746e-05, 1.0139915502804797e-05, -1.1922775153605574e-06, 1732835679.6393461, 
0.02198690176010132, -0.010986030101776123, 0.01864525900657171, -2.5277367075007674e-10, -0.00013875778677436895, 1.8216899867472416e-06, 6.85019646286095e-05, 1.0163942820120414e-05, -1.0082331755256746e-05, 1.0139915502804797e-05, -1.1922687852645796e-06, 1732835679.74854, 
-0.013546168804168701, 0.0015674233436584473, -0.010845613943109664, -2.9813145558979375e-11, 0.00012377249897934143, -2.4087051489487514e-07, 4.2258668822490515e-05, 1.0163959344284501e-05, -1.0082331755256746e-05, 1.0139915502804797e-05, -1.1922724357235375e-06, 1732835679.8444023, 
-0.009688496589660645, -0.023555517196655273, -0.009784984230474946, 1.6051134641674175e-10, -7.98116569799617e-05, -2.0111266009305047e-06, 6.26167566038822e-05, 1.0163949782799952e-05, -1.0082331755256746e-05, 1.0139915502804797e-05, -1.192275757806032e-06, 1732835679.938288, 
-0.008029282093048096, -0.020578444004058838, -0.008175941142057486, -2.0543669034102972e-10, -8.767098419600484e-05, 2.3432688959181486e-06, 6.340686481941311e-05, 1.016394938028578e-05, -1.0082331755256746e-05, 1.0139915502804797e-05, -1.1922720286616208e-06, 1732835680.040342, 
-0.004782259464263916, -0.0030318498611450195, -0.0050664888799005865, -3.240730414285179e-11, -7.362706258787894e-05, 4.401547882501961e-07, 6.200518995045909e-05, 1.0163950424323518e-05, -1.0082331755256746e-05, 1.0139915502804797e-05, -1.19226845427274e-06, 1732835680.1485248, 
0.0020636916160583496, 0.021808207035064697, 0.0014656663400428134, 1.0056960059490983e-10, -4.40451517489856e-05, -2.2833296424555068e-06, 5.9045687996500565e-05, 1.0163951701448093e-05, -1.0082331755256746e-05, 1.0139915502804797e-05, -1.1922728502968943e-06, 1732835680.2442777, 
-0.003562450408935547, -0.001837015151977539, -0.0031405308618262327, -5.2612093070900905e-12, 5.336285781632941e-06, -9.859309494252992e-07, 5.410816866771723e-05, 1.0163953817187561e-05, -1.0082331755256746e-05, 1.0139915502804797e-05, -1.1922698926211054e-06, 1732835680.3382905, 
0.021840929985046387, 0.006903231143951416, 0.01974455461642028, -2.972740739560348e-11, -9.300551180460332e-06, 3.1963059843225467e-06, 5.561228885726931e-05, 1.0163952834872903e-05, -1.006174261419801e-05, 1.0115782060893252e-05, -9.538568240307697e-07, 1732835680.438599, 
0.003745436668395996, 0.014006555080413818, 0.005086890805687904, 2.300420104613207e-11, 0.0001544789294866788, 1.4891481396571816e-07, 3.923593909981584e-05, 1.0163964309445614e-05, -1.006174261419801e-05, 1.0115782060893252e-05, -9.53855266450725e-07, 1732835680.5482082, 
0.012434542179107666, 0.010401010513305664, 0.011817457862899849, 2.425020356746886e-11, 6.038805964591362e-05, 4.0157282266826133e-07, 4.8645764922434454e-05, 1.0163960568023042e-05, -1.006174261419801e-05, 1.0115782060893252e-05, -9.538586865364854e-07, 1732835680.6429477, 
