imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, odom_x, odom_y, stamp, 
-0.07176726229909805, 0.026431054912526113, -0.07173130296403617, -1.278852466992053e-13, 2.0037901462702783e-06, -6.382167660482929e-08, -1.9997184607051914, -0.5000010528216215, -1.999905827864896, -0.5000010558348338, 609931000000, 
-0.06735051863943217, 0.00894312440543963, -0.0673548899488506, 1.1291632078351761e-13, -3.1551342226723844e-06, -3.57881195583109e-08, -1.9997171668321316, -0.5000010528008167, -1.9999058043007363, -0.5000010558939564, 610026000000, 
-0.05830341043142177, 0.012714080445740676, -0.05831243790765475, 1.716687051328621e-12, -1.6708657087520506e-05, -1.027423713549543e-07, -1.9997121461922174, -0.5000010527201243, -1.9999058248481918, -0.500001055915846, 610128000000, 
-0.049863458296762725, 0.03205889698120902, -0.04987188983945513, 2.5493822804368266e-12, -4.14939594345267e-06, -6.143984124868815e-07, -1.9997132318192214, -0.500001052737561, -1.9999058541999273, -0.5000010558444894, 610223000000, 
-0.053684332126827286, -0.0018011100983428075, -0.05368052677714697, 7.473983357505088e-14, -1.2957675389500475e-06, -5.76799706185047e-08, -1.999713138676453, -0.5000010527360659, -1.999905808757185, -0.5000010559244586, 610328000000, 
-0.005108723652230425, 0.0151256189954291, -0.005157198029779417, 2.1743870087153354e-13, -2.295891904280714e-06, -9.470772577146026e-08, -1.9997127413071725, -0.5000010527297124, -1.9999058197842519, -0.5000010559374602, 610423000000, 
-0.038845463009985814, -0.011259510988824564, -0.03881184190191038, -6.044621974152277e-14, 1.4438385271595524e-06, -4.186494445499937e-08, -1.999712918159048, -0.500001052732539, -1.9999058131461342, -0.5000010559566147, 610523000000, 
-0.0403207295239818, 0.01045161575922873, -0.04031922325785303, -2.414869246835084e-14, 4.821689407684925e-07, -5.008346748727131e-08, -1.99971238342983, -0.5000010527239974, -1.9999057843129229, -0.5000010559639301, 610623000000, 
-0.05553748013179164, 0.012470016803865024, -0.05552229181424339, 1.249852608525184e-13, -1.739689195759224e-06, -7.184344258571609e-08, -1.9997119114749085, -0.5000010527164607, -1.9999058202614157, -0.5000010558995008, 610724000000, 
-0.06463829267444399, -0.00973255933791306, -0.06462919432108079, 5.0249193202588196e-14, -1.3867670720750513e-06, -3.6234775265754745e-08, -1.999711542526633, -0.5000010527105706, -1.9999057877464903, -0.5000010559775401, 610825000000, 
-0.04183060835074992, 0.013638386861734578, -0.041853360822692774, 5.88743926007725e-13, -5.44297358039212e-06, -1.0816586141968946e-07, -1.9997110474246746, -0.5000010527026703, -1.9999057700293348, -0.5000010559153607, 610925000000, 
-0.05204186313704336, -0.03605431112350212, -0.052031693291147874, -6.104204850470946e-13, -4.286730351811194e-06, 1.423976865699483e-07, -1.9997104626423805, -0.5000010526933408, -1.9999057654640822, -0.5000010560039491, 611022000000, 
-0.06027073064177761, -0.01677327701704727, -0.06026250753293985, 6.586742550882388e-14, -4.1033849427175514e-06, -1.605197329237208e-08, -1.999710376694679, -0.5000010526919715, -1.999905766757749, -0.5000010559821914, 611117000000, 
-0.04778461679907995, 0.004796877240539604, -0.04779706919581833, 4.3692871989075613e-13, -4.371389099042458e-06, -9.995191688300276e-08, -1.9997101849323569, -0.5000010526889137, -1.999905792847479, -0.5000010559578977, 611192000000, 
-0.05342317920240212, -0.02194701319899965, -0.053417563832770104, 1.1520758532175674e-14, 2.8231856211233947e-07, 4.080765517497699e-08, -1.9997101401275956, -0.5000010526881993, -1.9999057412527963, -0.5000010560251139, 611301000000, 
-0.060492633900398524, 0.031440975788249115, -0.06048557239797076, 6.275497950931116e-14, -1.1031950346634609e-06, -5.6884755222321235e-08, -1.999709562632807, -0.5000010526789972, -1.9999057380486018, -0.5000010560625876, 611397000000, 
-0.04460871972696155, -0.0018774480458826216, -0.04462456431808518, 1.247760107658611e-13, -2.1494949591638335e-06, -5.8048989709843156e-08, -1.9997090827726092, -0.500001052671349, -1.9999057709573433, -0.5000010560624057, 611497000000, 
