e, e_dot, e_int, stamp, 
0.769485301760985, -3.4687187862960737e-06, 0.07482844644156778, 1729802496776361310, 
0.7694853016736647, -2.392160489728648e-06, 0.06848873085300647, 1729802496819287298, 
0.7669045735162623, -0.017203255502117487, 0.07142881634551199, 1729802496869291947, 
0.7607081640053251, -0.05854264742690269, 0.0765457148038158, 1729802496919255667, 
0.7554328216913531, -0.07575462707850991, 0.07690724346903692, 1729802496970350697, 
0.7497896574521541, -0.07588735138260679, 0.07285127521144051, 1729802497015707792, 
0.7382986454922801, -0.10243120539002837, 0.08091008559041457, 1729802497078542349, 
0.7271386201227127, -0.1388414887655154, 0.08166728455545112, 1729802497126306779, 
0.7144955925900506, -0.16052538889650383, 0.07176265287480395, 1729802497177301335, 
0.702684848076699, -0.17623986870566433, 0.06651464295345061, 1729802497219363793, 
0.6877570396549254, -0.19327371628159637, 0.06453958982278775, 1729802497269284480, 
0.593899364261946, -0.41874884232673315, 0.09787660701160265, 1729802497367337243, 
0.5425592113566255, -0.47170361777105585, 0.1278014521363777, 1729802497479459392, 
0.4967297374182448, -0.3087613198196779, 0.11430522827345195, 1729802497577304264, 
0.45450090811154475, -0.30910951153721017, 0.0945363956751243, 1729802497669318217, 
0.4113621452953474, -0.29970474651164447, 0.08630556227749935, 1729802497767321919, 
0.2695018267552982, -0.6593464433340616, 0.07200056680802222, 1729802497859566924, 
0.20269551427300925, -0.7017579848190535, 0.061844500321167194, 1729802497977306084, 
0.15814307297724306, -0.3505517746703222, 0.044069813219291154, 1729802498069309845, 
0.11534493077818775, -0.30544486450825487, 0.030325460365707668, 1729802498168359276, 
0.07555817031246326, -0.2895626513238399, 0.02212699370972692, 1729802498259488068, 
-0.07642021195425108, -0.5718668117109247, 0.008012070647688843, 1729802498378313900, 
-0.11746663114168343, -0.5751278053827242, -0.008313747306316496, 1729802498470267428, 
-0.1381415056187012, -0.2837576436528683, -0.015828497386172168, 1729802498521330279, 
-0.1875049802899268, -0.23739961392255937, -0.03126823412268287, 1729802498681962137, 
-0.28977380690498666, -0.4523194445383943, -0.052939109625859265, 1729802498779393477, 
-0.3170015388599523, -0.44969407779926224, -0.04987090324246108, 1729802498870324740, 
-0.3433731950663843, -0.1886116881339516, -0.06015163516531557, 1729802498969316313, 
-0.3532785065319908, -0.12572164460958085, -0.06366433289915434, 1729802499058745189, 
-0.3664436865583651, -0.07331153602732383, -0.07442350295209404, 1729802499179335575, 
-0.4137562326428855, -0.2097153513203732, -0.07994072600689013, 1729802499270325906, 
-0.4172203857888771, -0.18498221791787925, -0.0758532439004158, 1729802499369377226, 
-0.410369364137653, 0.013892489322209678, -0.07796934998179525, 1729802499458756894, 
-0.40580352049758994, 0.038173870178115, -0.08631420998538666, 1729802499579320507, 
-0.400133476160878, 0.033621532015198796, -0.0853738481555694, 1729802499669330112, 
-0.3968280487514367, 0.04304099798236133, -0.05612661869656431, 1729802499719314479, 
-0.3793171867922257, 0.0639112242287772, -0.07426126677138344, 1729802499858727232, 
-0.3612457314809139, 0.09138157288757946, -0.09898071452987937, 1729802499980387542, 
-0.3530404189734256, 0.1197924639442887, -0.05853624467302532, 1729802500019305321, 
-0.32872221415200864, 0.12425091043349057, -0.06574721190542152, 1729802500169495935, 
-0.2899311825506071, 0.17214228036412973, -0.0840877197197538, 1729802500278917099, 
-0.2645709839584614, 0.20208274713383068, -0.06187340282368797, 1729802500379657942, 
-0.24499635172105494, 0.1550835367738533, -0.05127969184904536, 1729802500471336562, 
-0.222208178405778, 0.14933750030948337, -0.0460669241318073, 1729802500568514729, 
-0.18255125036691983, 0.22468924056226194, -0.04058720231722151, 1729802500658732520, 
-0.1517098290175406, 0.2317643166182158, -0.03910533156584662, 1729802500779336788, 
-0.13120434853203994, 0.1612039077144661, -0.03267333748937618, 1729802500869317467, 
-0.11214280379225577, 0.13949337881654225, -0.02501931378460472, 1729802500969329485, 
-0.0815249758602336, 0.17676555168181848, -0.020590708444485618, 1729802501059460357, 
-0.05552490350016992, 0.18554370977602072, -0.017442423352607952, 1729802501179316670, 
-0.03904214392700078, 0.1338658994667656, -0.012274271022470966, 1729802501268571550, 
-0.025216973071941595, 0.10729729744222045, -0.007586555116685127, 1729802501369322526, 
-0.012072457775502254, 0.09432145308570282, -0.004858264773366168, 1729802501459512119, 
0.005472897880132943, 0.0973085287082159, -0.0022294192935175634, 1729802501579535810, 
0.01632842775530363, 0.08900236208675699, 0.0006805959748528139, 1729802501669381135, 
0.02621039063721506, 0.07321403961833901, 0.0030383015950631313, 1729802501769383320, 
0.018409156799972265, 0.0041887884779196515, 0.003869182961475683, 1729802501859831250, 
0.026103481414752022, -0.007493473830934724, 0.004976639815180303, 1729802501980487393, 
0.029808688027788577, 0.03527753507481864, 0.005171413491600663, 1729802502068576724, 
0.009830206084329052, -0.05214987007439081, 0.004135869236161001, 1729802502169218141, 
0.010384593838212941, -0.06414977434483242, 0.0032030239261803505, 1729802502260667923, 
0.011445499648464558, 0.004974563068360956, 0.0022285774783282293, 1729802502380388993, 
0.010450677215693566, -0.000767833135946004, 0.002246990342702774, 1729802502469491036, 
-0.01895654279238676, -0.10259972032677543, 0.00018445063124357655, 1729802502568627352, 
-0.021247276140748034, -0.11386539179580941, -0.0014884954500639478, 1729802502619575568, 
-0.025407003993431154, -0.027667672808941935, -0.0035057324717501733, 1729802502728924037, 
-0.05338625258900384, -0.07725627564886633, -0.00846256341765163, 1729802502873349609, 
-0.059367201376556156, -0.08625019099575866, -0.010887409982114665, 1729802502965331982, 
-0.06483636500042625, -0.04043193021240351, -0.011198350770550624, 1729802503062521784, 
-0.07116255214772618, -0.03744349508790953, -0.013678338936502093, 1729802503175373606, 
-0.09273694924089554, -0.0912581774798437, -0.01615985012632283, 1729802503274467340, 
-0.10041494733146031, -0.09954588967847028, -0.017090293843021184, 1729802503369350446, 
-0.10536458846395245, -0.04201799278132381, -0.02035385776120918, 1729802503479017428, 
-0.11567980844965785, -0.04896973377175647, -0.02261137966029565, 1729802503580369787, 
-0.11839318513731738, -0.04408899365707556, -0.021536334059102675, 1729802503669358762, 
-0.12231650917569621, -0.023242160332245448, -0.022450597658019752, 1729802503769353448, 
-0.1246781118448779, -0.02172227307043355, -0.023271003241221833, 1729802503860424278, 
-0.12258126864942909, -0.002865275237363222, -0.02611993122430114, 1729802503981379708, 
-0.12223493808973143, 0.007075760376814781, -0.02585838506631342, 1729802504070373799, 
-0.12199984036241335, 0.0020888692720564257, -0.022985038685284943, 1729802504169362531, 
-0.11198213304942768, 0.03775939758170573, -0.02247932016440213, 1729802504259690921, 
-0.1052244669066093, 0.05643907564255211, -0.023293765429119363, 1729802504375376592, 
-0.10154376852763798, 0.03252272973557415, -0.02227969089339925, 1729802504469381887, 
-0.09631358712687962, 0.03031753301299803, -0.0196980040326489, 1729802504570353683, 
-0.07666673340185988, 0.09048942036298668, -0.017424035330653488, 1729802504659791793, 
-0.06569953088512043, 0.10483801167123848, -0.016315515855809135, 1729802504775425654, 
-0.05673528345977204, 0.06341621884560539, -0.013910185963720711, 1729802504869386135, 
-0.04913331526679077, 0.05689758937740525, -0.011148033256323459, 1729802504970357544, 
-0.030408613631571733, 0.08229068938638046, -0.00954394993723025, 1729802505079486190, 
-0.020146033133461784, 0.09249726644392509, -0.006846220158331977, 1729802505176387039, 
-0.011264156450336633, 0.06713778865122559, -0.003913122454363725, 1729802505269385812, 
-0.0032691352889089023, 0.05796749780936842, -0.002253922008163535, 1729802505371366787, 
0.01100145671924293, 0.07042438302488628, -0.00024649714610910564, 1729802505478764629, 
0.01848077666483919, 0.06982863424814695, 0.001791459307231055, 1729802505576393217, 
0.020430812324096496, 0.04030915313828387, 0.002356395669854162, 1729802505620394676, 
0.027876134866474302, 0.031207769580572493, 0.0043413017424107905, 1729802505771397695, 
0.028375151330349676, 0.017986258627896125, 0.006601036078077186, 1729802505878644106, 
0.029956536081137262, 0.006888399134829651, 0.005919822361985421, 1729802505977405301, 
0.03124354263642779, 0.01000094542250214, 0.005695545784127117, 1729802506069395917, 
0.0316069623107994, 0.005908247774937497, 0.005856582291637272, 1729802506166720106, 
0.029726549468721265, -0.005499949917052216, 0.005871165043842279, 1729802506259653592, 
0.02741851650135046, -0.013275139991628998, 0.006234582279820264, 1729802506377461733, 
0.026495824696468533, -0.00987506594217695, 0.005848367129652219, 1729802506469420624, 
0.0246521810278936, -0.009554035076357643, 0.00500019869847473, 1729802506568390333, 
0.02167882821077328, -0.017086335132489274, 0.004614580109252482, 1729802506659511825, 
0.021032901633008732, -0.012687780472325489, 0.00471586815426081, 1729802506778407897, 
0.01894437954150453, -0.009459850909975248, 0.004314112727182156, 1729802506869423516, 
0.017700695074507854, -0.011838338425044205, 0.0036523767315086637, 1729802506968378678, 
0.016752434877146723, -0.00765797063153571, 0.003383331008263916, 1729802507059507157, 
0.014603951153193545, -0.00949144143474024, 0.003434579276728552, 1729802507178414367, 
0.015365828022107904, -0.003291328299744569, 0.003299840046939521, 1729802507271387530, 
0.011539055508202833, -0.010283639812337542, 0.002642468618233687, 1729802507369395538, 
0.009739193058663748, -0.019541708902166454, 0.0023199770049819896, 1729802507461320847, 
0.009939916851656006, -0.005959980533246897, 0.0021854859128142895, 1729802507579416135, 
0.007639061132821839, -0.007863671300271418, 0.0019038186199602078, 1729802507670392525, 
0.009392634278091377, -0.002527254466805412, 0.0017081875183204832, 1729802507769414512, 
