e, e_dot, e_int, stamp, 
-2.356194490376011, 1.5636993008049472e-11, -0.25725001424925364, 1729799964447091600, 
-2.356194490378376, 3.464698881287255e-12, -0.2611240338873928, 1729799964496997915, 
-2.3561921421218845, 1.597822641445853e-05, -0.2330156424125749, 1729799964545986543, 
-2.351835884895368, 0.02897682975449736, -0.2334213056203027, 1729799964596126151, 
-2.333923264327013, 0.1487234850636372, -0.23472115852112405, 1729799964645982048, 
-2.315734300881416, 0.2664257108043174, -0.2128348099573966, 1729799964687321613, 
-2.2719555753992915, 0.3577523307267429, -0.25487923507267235, 1729799964756453074, 
-2.248721541740937, 0.47195089209919816, -0.22519206435675576, 1729799964786141908, 
-2.205515969621351, 0.5521798212106962, -0.1774049076242615, 1729799964835578772, 
-2.0853053746122123, 0.6542435905012213, -0.34843942922508164, 1729799964945987681, 
-1.9439228897766996, 0.8341911205596869, -0.4372859840902796, 1729799965045989641, 
-1.8063778646781583, 0.9748405776696892, -0.37162635884790396, 1729799965137035372, 
-1.6465062561727732, 0.9873920965345008, -0.3619309940395859, 1729799965247181379, 
-1.498969053965175, 0.9815474143747576, -0.34490101048638644, 1729799965345988060, 
-1.346393049718982, 1.00139174363883, -0.29913529066068156, 1729799965446965923, 
-1.2129176490114901, 0.9976361993025806, -0.25844053458469324, 1729799965537034920, 
-1.0631194613401502, 0.9980938408869514, -0.22835612087202908, 1729799965636084369, 
-0.9034106097852623, 0.9884668605834852, -0.22146212054745934, 1729799965745997740, 
-0.768670441981433, 0.9334907268988134, -0.19138319068417983, 1729799965845995697, 
-0.6494240186512097, 0.8809794464772492, -0.1486103337821925, 1729799965938041689, 
-0.5226304220901525, 0.8186021399655076, -0.1302373962557995, 1729799966047318508, 
-0.4128541152340057, 0.7539159377151305, -0.11038467404807396, 1729799966146983726, 
-0.3236568970305487, 0.6644350808378631, -0.08380777771169905, 1729799966246996897, 
-0.25551165088186645, 0.5523397569756668, -0.06252148994926757, 1729799966336056493, 
-0.18686212967796978, 0.46131929899185836, -0.05106885125694231, 1729799966446997443, 
-0.13672746439111583, 0.3750535898651853, -0.04052732388564426, 1729799966546005915, 
-0.09479825643500028, 0.30719528990357653, -0.02789106667990622, 1729799966646986998, 
-0.06739635900051155, 0.24107253065930564, -0.018926603016588807, 1729799966735954443, 
-0.042811452089737134, 0.17619247870407362, -0.013696048775994627, 1729799966847411048, 
-0.027698008657499606, 0.12410892509470585, -0.009701764149974142, 1729799966947006395, 
-0.017127968890816803, 0.08582500323721703, -0.005829952611061295, 1729799967046981687, 
-0.0113373367536731, 0.0566938046650737, -0.0035561667633972624, 1729799967136961358, 
-0.006425940635538918, 0.03793808003331855, -0.0022014207213916955, 1729799967236263036, 
-0.006472054153281004, 0.016346396023982843, -0.0016888335932752536, 1729799967346015679, 
-0.00678158810486762, -0.001161469203439143, -0.001382603947721242, 1729799967447030300, 
-0.005916576178239374, 0.002220796251905624, -0.0012137744319772297, 1729799967535962565, 
-0.0045885255986979345, 0.007608697010546571, -0.001096635354900615, 1729799967637344703, 
-0.005393159592305796, 0.001898241771534231, -0.0011131275487887644, 1729799967746009599, 
-0.005782768718123776, -0.003750834793994209, -0.001103094288860868, 1729799967847265255, 
-0.0059147935471832724, -0.0017714823218557402, -0.0010896608272099363, 1729799967937281946, 
-0.0059390452902503554, -0.0005696434652109251, -0.0011177083283992486, 1729799968037388269, 
-0.005223934112906559, 0.0020933249316238407, -0.0011940116969324213, 1729799968147030319, 
-0.004895242562266144, 0.003269676991589485, -0.001122178933099722, 1729799968247033945, 
-0.0034411053249758794, 0.006483244430640227, -0.0008586868450848187, 1729799968337001334, 
-0.0014717403042183719, 0.011921306145388381, -0.0006226179778387564, 1729799968437474110, 
-0.0012970070589077842, 0.007065361786780431, -0.00043472335591846644, 1729799968547017599, 
-0.001482522977704015, -8.679493223853216e-05, -0.00029691684194702023, 1729799968646999841, 
-0.0005110306978557411, 0.0029787911939253672, -0.0002084055373184136, 1729799968737020660, 
0.0008905687233160542, 0.008261192684634816, -6.99271646396458e-05, 1729799968837194180, 
0.00046506881080610185, 0.003372587089459362, 5.91251764944197e-05, 1729799968947030243, 
0.0008899380178721827, 0.00012488313134082505, 0.0001570691308562714, 1729799969047032318, 
0.000962879569802233, 0.001686460751409044, 0.0001467739172062229, 1729799969136997168, 
0.0018019466463581324, 0.00306370170090977, 0.00023157595145409767, 1729799969237120600, 
0.0025723231097916077, 0.005129840749161451, 0.0003736588607998116, 1729799969347029999, 
0.0018366705973726916, -9.245570783607733e-05, 0.0004365660803002329, 1729799969447990157, 
0.0028261077125404377, 0.0012763019224364882, 0.00045816181101730887, 1729799969537004590, 
0.001378015477695893, -0.0011455221392843086, 0.0003796150718830314, 1729799969636515913, 
0.0029978216678312464, 3.043735716565128e-05, 0.0005044447049915259, 1729799969747133124, 
0.003068085151699318, 0.005127930438939559, 0.00050993565165311, 1729799969842026784, 
0.003574801863818422, 0.0020231726865157706, 0.0006105106930884843, 1729799969937112112, 
0.0031044973311629143, 0.00021249052324316212, 0.0006346497189767534, 1729799970037356022, 
0.0021476551550838607, -0.004472355564932053, 0.0006176066811082644, 1729799970147016907, 
0.0016848225451675525, -0.004515353553146529, 0.00047558137898788647, 1729799970243028398, 
0.0021577804174852666, 7.045599217319857e-05, 0.00037938741097278154, 1729799970337019109, 
0.00256270326624497, 0.0030335257651811103, 0.00041317270472482175, 1729799970436542661, 
0.002803171592067333, 0.0020817117006363735, 0.0005266719197704182, 1729799970547025509, 
