x, y, theta, stamp, 
1.7763568394002505e-14, -2.3092638912203256e-14, 1.8664112286187547e-10, 1729799964337911303, 
1.7763568394002505e-14, -2.3092638912203256e-14, 1.8716586367006188e-10, 1729799964386173433, 
1.7763568394002505e-14, -2.3092638912203256e-14, 1.8364575984156412e-10, 1729799964447091600, 
1.7763568394002505e-14, -2.3092638912203256e-14, 1.86010905451644e-10, 1729799964496997915, 
-1.894958501225119e-07, 2.1548115114455868e-07, -2.145581962279449e-06, 1729799964545986543, 
0.000887514790520072, -8.97704012459144e-05, -0.0048470530257822666, 1729799964596126151, 
0.003348306752741337, -0.000243980874074623, -0.02406458416889744, 1729799964645982048, 
0.006727365776896477, -0.0005354224122129381, -0.04408035959687344, 1729799964687321613, 
0.014397536404430866, -0.001267481129616499, -0.09202018124890778, 1729799964756453074, 
0.018364138901233673, -0.0017331589478999376, -0.11743839714074703, 1729799964786141908, 
0.026378188282251358, -0.0028543868102133274, -0.16512388648964976, 1729799964835578772, 
0.047438524663448334, -0.008868100121617317, -0.29850273730518356, 1729799964945987681, 
0.0694628581404686, -0.0179565642029047, -0.4548581466282089, 1729799965045989641, 
0.08883253484964371, -0.029600514099001884, -0.6072665501601505, 1729799965137035372, 
0.11071272194385529, -0.048217594623565674, -0.7865935626504816, 1729799965247181379, 
0.1270992010831833, -0.06798089295625687, -0.9516831286531755, 1729799965345988060, 
0.13979700207710266, -0.089864581823349, -1.121369940704329, 1729799965446965923, 
0.14812630414962769, -0.11146795004606247, -1.2700541119028166, 1729799965537034920, 
0.1538531482219696, -0.13688597083091736, -1.4362355995022196, 1729799965636084369, 
0.15490388870239258, -0.16591687500476837, -1.61270504315931, 1729799965745997740, 
0.1516280323266983, -0.19348405301570892, -1.7619769681614463, 1729799965845995697, 
0.14554955065250397, -0.21841441094875336, -1.8934345234920147, 1729799965938041689, 
0.13302043080329895, -0.24908606708049774, -2.033673223337657, 1729799966047318508, 
0.1184719055891037, -0.2750133275985718, -2.153634028160682, 1729799966146983726, 
0.1012800931930542, -0.2996772527694702, -2.251524494163099, 1729799966246996897, 
0.08354152739048004, -0.32013896107673645, -2.3257265258561213, 1729799966336056493, 
0.0597810260951519, -0.3434287905693054, -2.4000709079616134, 1729799966446997443, 
