x, y, theta, stamp, 
-2.1055404531011845e-08, 2.3942275717558914e-08, -2.3842822948300236e-07, 1729798624925519264, 
-2.1055404531011845e-08, 2.3942275717558914e-08, -2.384305032152797e-07, 1729798625085646257, 
-2.1055404531011845e-08, 2.3942275717558914e-08, -2.384312990215769e-07, 1729798625137089682, 
-2.1055404531011845e-08, 2.3942275717558914e-08, -2.3843186745464604e-07, 1729798625177676080, 
-1.3475356581693632e-06, 1.5323150819313014e-06, -1.5258676706783767e-05, 1729798625229819879, 
0.0004047388501930982, -1.5953668480506167e-05, -0.0030977477276055757, 1729798625272240661, 
0.0025962418876588345, -0.0002658077282831073, -0.021215748839922575, 1729798625322139156, 
0.006792336702346802, -0.0007475853199139237, -0.04784449217672766, 1729798625373051086, 
0.013103424571454525, -0.0016025943914428353, -0.08893815936608263, 1729798625432393375, 
0.01937231607735157, -0.0025475595612078905, -0.132009757278459, 1729798625482100765, 
0.02729301154613495, -0.003572923131287098, -0.18332517288171485, 1729798625533432753, 
0.03633030503988266, -0.005328496918082237, -0.23768378230574977, 1729798625580105253, 
0.056363169103860855, -0.011663775891065598, -0.3674215983627556, 1729798625672084780, 
0.08112449944019318, -0.02281590923666954, -0.5282123603425808, 1729798625772207747, 
0.10531719774007797, -0.03959110006690025, -0.7100815981855978, 1729798625881209329, 
0.12388955801725388, -0.057227492332458496, -0.8798894584852911, 1729798625981113322, 
0.13818953931331635, -0.07672185450792313, -1.0282416923904771, 1729798626071087389, 
0.15242740511894226, -0.1049228385090828, -1.2264647871797243, 1729798626190635088, 
0.1550295203924179, -0.11194050312042236, -1.2772875422785663, 1729798626220659732, 
0.16268399357795715, -0.15367650985717773, -1.5444047839293504, 1729798626382110164, 
0.16188347339630127, -0.17762279510498047, -1.691541617324893, 1729798626471093156, 
0.15720631182193756, -0.20513135194778442, -1.8628322006077969, 1729798626578265566, 
0.14648282527923584, -0.23489834368228912, -2.022037467050413, 1729798626687088928, 
0.13407035171985626, -0.25860390067100525, -2.1459851640289482, 1729798626777257810, 
0.1162261888384819, -0.2836262285709381, -2.269639058270157, 1729798626876126161, 
0.09703018516302109, -0.3050343096256256, -2.3843297936518137, 1729798626972259298, 
0.0706532895565033, -0.32773852348327637, -2.4995505975701224, 1729798627086162549, 
0.04854763299226761, -0.34334027767181396, -2.5831613056418807, 1729798627177117701, 
0.021973779425024986, -0.3586430847644806, -2.653849842062628, 1729798627276108908, 
