imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.005936980247497559, 0.005021929740905762, -0.005396142393129479, 1.5881494861792436e-15, -2.447230110262803e-05, -6.489579706947524e-11, 1.2236150551314011e-05, 0.0, 1731621284.9004185, 
-0.007830440998077393, 0.003173530101776123, -0.007476909607542933, -3.4664635112532573e-10, -8.584357057656673e-05, 4.038116643996539e-06, 2.214108715981354e-05, -7.603526078124537e-14, 1731621284.9514139, 
-0.02038419246673584, 0.003152191638946533, -0.018499498817938793, -6.990101667556821e-11, -0.00014544487503951123, 4.806014420004765e-07, 2.944283294294462e-05, 3.615972033080742e-13, 1731621284.996369, 
-0.004183769226074219, 0.013794004917144775, -0.0062690416972267324, 4.342238764269207e-10, -0.00026421655330955123, -1.6434393340911992e-06, 4.140464518863521e-05, 4.3802698002305105e-12, 1731621285.0403166, 
0.0029234886169433594, -0.0025502443313598633, 0.0015837589300906063, 3.941096652210296e-09, -0.00010782035820872528, -3.655243515868199e-05, 2.6348417272418684e-05, 1.4663564188687258e-13, 1731621285.0895731, 
0.6847054362297058, -0.10233414173126221, 0.5850583912340137, -0.002223447344611849, 0.01768728297714825, -0.12570881279417057, 0.00016793094085958054, 4.670173175421898e-09, 1731621285.156675, 
0.4219054579734802, -0.04720175266265869, 0.4457175474068974, -0.04003702586986593, 0.07794374317126865, -0.5136656804112051, 0.0020019569669422616, -5.618787077159886e-06, 1731621285.2497332, 
1.2141835689544678, -0.29114705324172974, 1.1021837696436487, -0.12396312425936407, 0.18663042646241598, -0.6642171194112768, 0.010706166188795272, -0.00019231672993460334, 1731621285.3004217, 
0.4297942519187927, -0.03811115026473999, 0.5275100951888508, -0.09179468146151332, 0.11473038406479624, -0.8000904225132766, 0.026788458308951442, -0.0014320274548234116, 1731621285.3506832, 
0.4283106327056885, -0.2239210605621338, 0.4428960405367064, -0.2931607281579063, 0.21053641203219528, -1.392446680971632, 0.03800093820192142, -0.0030833700693323252, 1731621285.5571284, 
-0.11076575517654419, -0.23158526420593262, -0.030124806756073153, -0.2868062607677687, 0.18637732341564178, -1.5388474064956896, 0.0576775959424535, -0.007792324577437632, 1731621285.6496031, 
0.20607775449752808, -0.8877561688423157, 0.1722725051474752, -0.7240503939386959, 0.4646888768800427, -1.5581401448642942, 0.07676150994583933, -0.015290154011257143, 1731621285.7472472, 
0.03314173221588135, -0.31123417615890503, 0.052906483635438026, -0.3744016234214269, 0.25596919184724193, -1.4626823670438567, 0.11586328928623899, -0.03817645220888115, 1731621285.8395278, 
