x, y, stamp, 
-2.0750400508973144e-08, 2.42548487960903e-08, 1731621284.9004185, 
4.796163466380676e-14, 7.105427357601002e-14, 1731621284.9514139, 
4.796163466380676e-14, 7.105427357601002e-14, 1731621284.996369, 
4.796163466380676e-14, 7.105427357601002e-14, 1731621285.0403166, 
-1.8675380886179482e-07, 2.1829325191902171e-07, 1731621285.0895731, 
0.001284616650082171, -0.00010276719694957137, 1731621285.156675, 
0.00716148316860199, -0.0004297199484426528, 1731621285.2497332, 
0.01229244377464056, -0.0008958693942986429, 1731621285.3004217, 
0.01862543448805809, -0.0014857178321108222, 1731621285.3506832, 
0.05882646515965462, -0.012085839174687862, 1731621285.5571284, 
0.07971793413162231, -0.022300172597169876, 1731621285.6496031, 
0.10039222240447998, -0.03621861711144447, 1731621285.7472472, 
0.11887289583683014, -0.05319904908537865, 1731621285.8395278, 
0.13987672328948975, -0.07914336770772934, 1731621285.957571, 
0.15337088704109192, -0.10192358493804932, 1731621286.0496163, 
0.16413412988185883, -0.12633180618286133, 1731621286.1477811, 
0.17155759036540985, -0.15275375545024872, 1731621286.239801, 
0.17768952250480652, -0.19212596118450165, 1731621286.3582869, 
0.17940844595432281, -0.22371934354305267, 1731621286.449542, 
0.17831432819366455, -0.2585150897502899, 1731621286.5485525, 
0.17525070905685425, -0.29080355167388916, 1731621286.640344, 
0.1682901382446289, -0.3317844867706299, 1731621286.7588985, 
0.16077609360218048, -0.36140045523643494, 1731621286.851531, 
0.15146511793136597, -0.3910219967365265, 1731621286.9493937, 
0.1412728875875473, -0.41814982891082764, 1731621287.0413477, 
0.12901698052883148, -0.44600623846054077, 1731621287.1401434, 
0.11455421894788742, -0.4743659496307373, 1731621287.2506752, 
0.10014085471630096, -0.4981253147125244, 1731621287.3503952, 
0.09171704202890396, -0.511064350605011, 1731621287.4003987, 
0.061073433607816696, -0.5523762702941895, 1731621287.5597916, 
0.04843715578317642, -0.5675176382064819, 1731621287.650555, 
0.037066858261823654, -0.5795553922653198, 1731621287.7504003, 
0.025304723531007767, -0.5910239219665527, 1731621287.8413553, 
0.009269898757338524, -0.6052328944206238, 1731621287.960307, 
-0.0013684948207810521, -0.6140815019607544, 1731621288.050892, 
-0.014988027513027191, -0.6249341368675232, 1731621288.150402, 
-0.031346723437309265, -0.6371281743049622, 1731621288.2403617, 
-0.05198904126882553, -0.651543915271759, 1731621288.3602524, 
-0.06676642596721649, -0.661138653755188, 1731621288.451139, 
-0.0884917601943016, -0.6745442748069763, 1731621288.5494401, 
-0.10635917633771896, -0.6851344704627991, 1731621288.641393, 
-0.12521544098854065, -0.6958103775978088, 1731621288.7609365, 
